ticker,name,date,open,high,low,close,volume
SPY,SPDR S&P 500 ETF Trust,2024-12-27,597.54,597.78,590.76,595.01,64196003
SPY,SPDR S&P 500 ETF Trust,2024-12-26,599.5,602.48,598.08,601.34,41338900
SPY,SPDR S&P 500 ETF Trust,2024-12-24,596.06,601.34,595.47,601.3,33160100
SPY,SPDR S&P 500 ETF Trust,2024-12-23,590.89,595.3,587.66,594.69,57635828
SPY,SPDR S&P 500 ETF Trust,2024-12-20,581.77,595.75,580.91,591.15,125716700
SPY,SPDR S&P 500 ETF Trust,2024-12-19,591.36,593.0,585.85,586.1,85919500
SPY,SPDR S&P 500 ETF Trust,2024-12-18,603.98,606.41,585.89,586.28,108248729
SPY,SPDR S&P 500 ETF Trust,2024-12-17,604.19,605.17,602.89,604.29,55773545
SPY,SPDR S&P 500 ETF Trust,2024-12-16,606.0,607.78,605.21,606.79,43695200
SPY,SPDR S&P 500 ETF Trust,2024-12-13,606.4,607.13,602.81,604.21,35904730
SPY,SPDR S&P 500 ETF Trust,2024-12-12,606.58,607.16,604.33,604.33,31543812
SPY,SPDR S&P 500 ETF Trust,2024-12-11,605.78,608.43,605.5,607.46,28677723
SPY,SPDR S&P 500 ETF Trust,2024-12-10,605.37,605.8,602.13,602.8,37234515
SPY,SPDR S&P 500 ETF Trust,2024-12-09,607.69,607.86,604.08,604.68,34742738
SPY,SPDR S&P 500 ETF Trust,2024-12-06,607.44,609.07,607.02,607.81,31241549
SPY,SPDR S&P 500 ETF Trust,2024-12-05,607.66,608.48,606.3,606.66,28762200
SPY,SPDR S&P 500 ETF Trust,2024-12-04,605.63,607.91,604.95,607.66,42787600
SPY,SPDR S&P 500 ETF Trust,2024-12-03,603.39,604.16,602.34,603.91,26906629
SPY,SPDR S&P 500 ETF Trust,2024-12-02,602.97,604.32,602.47,603.63,31746000
SPY,SPDR S&P 500 ETF Trust,2024-11-29,599.66,603.35,599.38,602.55,30177400
SPY,SPDR S&P 500 ETF Trust,2024-11-27,600.46,600.85,597.28,598.83,34000200
SPY,SPDR S&P 500 ETF Trust,2024-11-26,598.8,601.33,598.07,600.65,45621300
SPY,SPDR S&P 500 ETF Trust,2024-11-25,599.52,600.86,595.2,597.53,42441400
